FID	IID	PC1	PC2	PC3	PC4	PC5	PC6
HG00096	HG00096	0.00907954	0.0590909	0.0064678	-0.038325	-0.00861813	0.0154361
HG00097	HG00097	0.00184689	0.0707998	-0.0401147	0.00496381	-0.0215583	0.0424841
HG00099	HG00099	-0.032731	0.0173183	-0.0237798	0.028895	-0.0225701	-0.0230678
HG00100	HG00100	0.0032861	0.0627492	-0.0152807	0.0266522	0.0883105	-0.0700457
HG00101	HG00101	-0.00014395	0.0690344	0.0327741	-0.0250941	0.00936299	-0.0631615
HG00102	HG00102	0.0106277	0.0561852	0.0229377	0.0740204	-0.0160201	-0.115627
HG00103	HG00103	0.0300966	0.0601451	-0.0657674	0.00467235	-0.0505565	-0.0443019
HG00105	HG00105	0.00229911	0.0444116	-0.0568223	0.0188436	-0.076621	-0.050689
HG00106	HG00106	-0.0171335	0.0247644	-0.0115058	0.0319015	0.0167363	-0.0536163
HG00107	HG00107	0.0207979	0.0307437	-0.00844964	-0.0237929	0.00621432	0.0179878
HG00108	HG00108	0.0271165	0.114808	0.0629281	-0.0444411	0.0170952	-0.0256638
HG00109	HG00109	0.00127257	0.0815038	0.0380839	-0.0714524	0.0211181	0.0141814
HG00110	HG00110	0.0250673	0.100963	-0.0132814	-0.0286855	0.066511	0.0361742
HG00111	HG00111	-0.00919616	0.0315157	-0.0241218	-0.00840884	0.0227185	-0.0480052
HG00112	HG00112	-0.00117563	0.0322549	0.0363549	-0.0227116	0.0231206	-0.00832826
HG00113	HG00113	0.0147365	0.0525864	0.0794168	-0.0536553	0.00360892	-0.00538611
HG00114	HG00114	-0.00919971	0.0602949	-0.0275303	0.0463051	0.00690719	-0.0850529
HG00115	HG00115	-0.00150019	0.0440034	-0.0287461	-0.0154043	-0.00923689	-0.018604
HG00116	HG00116	0.0281101	0.055121	0.0329013	-0.00370332	0.0712612	0.0267095
HG00117	HG00117	0.0121917	0.0870098	-0.00177834	-0.0378379	0.0366937	0.0163843
HG00118	HG00118	0.00420103	0.0735151	-0.0128271	0.0157998	0.0654643	-0.0473693
HG00119	HG00119	-0.00469304	0.0493257	-4.44413e-05	0.00736163	0.0179316	-0.0558556
HG00120	HG00120	-0.00174648	0.109335	0.0891526	0.0589741	0.0521346	0.0256125
HG00121	HG00121	-0.0103634	0.100171	0.0184181	0.000596481	-0.0102832	0.0369278
HG00122	HG00122	0.0038565	0.06687	-0.0307809	-0.0429848	0.0223993	-0.0302512
HG00123	HG00123	0.00825186	0.0327824	0.00799529	-0.0587356	0.0127648	0.000528474
HG00125	HG00125	0.0216871	0.0862025	0.11147	0.0380812	0.0141229	-0.0645475
HG00126	HG00126	-0.0278529	0.0216297	-0.0105682	-0.0801752	0.0817075	-0.0495015
HG00127	HG00127	-0.0214188	0.0584612	0.0188343	0.00194762	0.0480157	-0.0292683
HG00128	HG00128	0.0155897	0.0586678	0.020253	-0.0436713	-0.0065655	0.0131211
HG00129	HG00129	0.0159767	-0.0126148	-0.0346311	-0.0204795	0.00250699	0.00802576
HG00130	HG00130	0.0110212	-0.0173499	-0.0531953	0.0323866	0.0019032	0.0309224
HG00131	HG00131	-0.00521165	-0.0540712	0.00152503	0.0362294	0.0829156	0.0587752
HG00132	HG00132	-0.00569891	0.0140072	-0.0500931	0.0327467	0.0170219	-0.0786764
HG00133	HG00133	-0.000905586	0.0493913	-0.0528987	0.00435858	-0.016713	-0.0217262
HG00136	HG00136	0.0160276	0.0768828	0.032813	0.0468829	-0.0706285	0.0502487
HG00137	HG00137	0.00997034	0.0776622	-0.071203	0.0602894	-0.053274	-0.0368472
HG00138	HG00138	-0.0126544	0.0401209	0.0375259	0.0460858	0.0437201	-0.0390087
HG00139	HG00139	-0.0199127	0.0268083	-0.013481	0.0255248	-0.0443457	0.0279692
HG00140	HG00140	0.0297796	0.00977261	-0.00900107	0.0801432	0.00567496	-0.0263186
HG00141	HG00141	0.0127821	0.0709097	0.0481365	0.00274068	-0.11675	-0.0506188
HG00142	HG00142	0.0241266	0.00963655	-0.0512458	0.0687851	0.00670749	0.0363847
HG00143	HG00143	0.0218667	0.00842269	0.0479004	-0.00389089	0.0143611	-0.02194
HG00145	HG00145	-0.0175044	-0.034916	-0.0538466	-0.0164325	0.00718232	-0.049479
HG00146	HG00146	-0.00915878	-0.00010199	0.078726	0.0110106	0.0943698	0.0359404
HG00148	HG00148	-0.0041021	0.104697	0.00567911	0.0266651	-0.00243565	-0.0713655
HG00149	HG00149	-0.00143641	0.0811019	0.0433718	0.0249853	-0.0497594	-0.00118638
HG00150	HG00150	-0.00201511	-0.0146337	-0.0208412	0.0207338	-0.0060815	-0.0661939
HG00151	HG00151	0.00823848	0.0498284	0.0321048	-0.0121993	-0.0236748	0.037593
HG00154	HG00154	-0.0112188	0.060717	0.0307948	0.0216	-0.0551085	-0.0181077
HG00155	HG00155	-0.00132215	0.0937076	0.0383679	0.0790952	-0.0218249	-0.0793465
HG00157	HG00157	0.0112486	0.0491688	0.103276	0.0232573	-0.0371071	-0.0280774
HG00158	HG00158	0.00487086	-0.0527733	-0.0159995	0.0112641	0.0531923	-0.0349358
HG00159	HG00159	-0.00153791	0.00299762	0.0116228	-0.0312961	-0.0199182	-0.022795
HG00160	HG00160	0.00586911	0.0458867	-0.0938166	0.0658666	0.0133838	-0.0541237
HG00171	HG00171	0.102176	0.00358095	0.0590628	0.00647655	0.0494042	0.027102
HG00173	HG00173	0.0835484	-0.00214617	-0.0158236	0.0338527	-0.0694938	-0.0518319
HG00174	HG00174	0.0885507	-0.0224912	-0.0737987	-0.00848456	-0.0525968	-0.030182
HG00176	HG00176	0.102663	-0.0537299	-0.0333088	-0.0106053	0.0475577	0.0604751
HG00177	HG00177	0.0657802	-0.0466315	-0.0929289	-0.0240729	0.0146528	0.0242541
HG00178	HG00178	0.0891747	-0.0270158	0.0195442	0.0942912	-0.0480118	-0.0219989
HG00179	HG00179	0.0534233	0.0694236	-0.0532452	0.0468183	-0.0407489	0.0285011
HG00180	HG00180	0.0577044	0.0108644	0.111518	-0.039117	-0.0283813	-0.0755482
HG00181	HG00181	0.0470625	-0.0383086	0.0160051	0.0702557	-0.0562137	-0.0266195
HG00182	HG00182	0.0682856	-0.0603921	0.0571757	-0.0307542	0.0585693	0.0189396
HG00183	HG00183	0.0982738	0.0696931	-0.0184918	-0.0354065	-0.0390731	0.00633008
HG00185	HG00185	0.0856343	-0.0688448	-0.0474297	0.0183491	-0.00131758	-0.02554
HG00186	HG00186	0.0745926	-0.000754688	0.0118343	-0.0517848	0.0265281	0.0702856
HG00187	HG00187	0.115792	-0.0504754	0.0155016	0.0127792	0.0674294	0.0712455
HG00188	HG00188	0.0850482	0.0157501	0.00153511	0.0337267	0.00785484	-0.02039
HG00189	HG00189	0.081787	-0.0221003	-0.00151931	-0.0782548	-0.00262422	0.0066117
HG00190	HG00190	0.0606618	-0.00866013	0.0103738	0.0450188	-0.00470905	-0.0652527
HG00231	HG00231	0.008498	0.0187178	-0.0127718	-0.0530978	0.0709173	-0.116518
HG00232	HG00232	9.89923e-05	0.0348127	0.00906664	-0.00757338	-0.0132929	0.0105332
HG00233	HG00233	-0.00174351	0.00758073	0.0499169	0.0266671	-0.0619062	-0.020216
HG00234	HG00234	0.00583868	-0.0141197	0.0814559	0.0503987	0.119786	0.000839396
HG00235	HG00235	-0.0246643	0.0261397	-0.00611997	0.0159932	-0.0249269	-0.016823
HG00236	HG00236	-0.0275465	-0.00630106	-0.000190013	0.0409931	0.0684988	0.0567772
HG00237	HG00237	-0.019148	0.0174712	-0.0401468	-0.00629474	0.0101842	-0.0485993
HG00238	HG00238	-0.000976982	0.0562497	-0.0146709	-0.0201049	0.00251435	0.0174231
HG00239	HG00239	0.012751	0.0647817	-0.0098038	0.0604117	-0.0970179	-0.0387637
HG00240	HG00240	0.00592379	0.113515	-0.00481124	0.0177809	0.0376014	0.00357569
HG00242	HG00242	0.00231548	0.0700603	0.04846	-0.0197783	0.0138252	0.0554765
HG00243	HG00243	-0.00680627	0.042987	0.00474222	-0.0149448	0.0726347	-0.0252649
HG00244	HG00244	-0.0119229	-0.0245471	-0.01274	-0.0540589	-0.0383566	-0.0152154
HG00245	HG00245	-0.0069342	0.011075	0.0283865	-0.0308437	-0.00640134	-0.0623004
HG00246	HG00246	-0.00626414	0.034894	0.026636	-0.0155171	0.0139913	0.0189979
HG00250	HG00250	0.0125122	0.0542662	-0.0182652	0.0537482	0.00647183	-0.00567749
HG00251	HG00251	-0.0163831	0.0702856	0.071396	-0.0172028	0.0499299	-0.0430741
HG00252	HG00252	-0.00271047	0.0135548	-0.133642	-0.0106824	0.0473432	-0.0182216
HG00253	HG00253	-0.0196215	0.0325235	-0.00544208	0.00556628	0.0488936	-0.0116547
HG00254	HG00254	0.0162783	0.000790482	0.008181	0.0107358	0.0473872	-0.00276104
HG00255	HG00255	0.004348	-0.00734489	0.0306869	-0.0953208	-0.0720663	-0.0353202
HG00256	HG00256	-0.000425627	0.0223823	-0.00935123	0.0695753	0.0494042	-0.0195651
HG00257	HG00257	-0.0191186	-0.0695697	-0.0777344	0.0167713	0.0889879	0.0412865
HG00258	HG00258	-0.0054666	0.0839646	0.0261759	0.0102242	-0.0348846	-0.0510205
HG00259	HG00259	-0.036819	0.0142707	0.0113283	-0.0479332	-0.120238	-0.0283895
HG00260	HG00260	0.00523519	0.069348	0.0372062	0.0103068	0.0206066	0.0118024
HG00261	HG00261	-0.00977443	0.0222214	-0.0280664	-0.0295778	0.00615065	0.0423041
HG00262	HG00262	-0.0146961	0.0529383	0.0542055	-0.0382864	-0.00382618	0.0473696
HG00263	HG00263	-0.00459578	0.00270864	-0.0438221	-0.0188673	0.0115675	-0.0692447
HG00264	HG00264	-0.0114838	0.0168961	-0.0438697	0.0520069	0.115582	-0.0564912
HG00265	HG00265	0.0126143	0.0357996	0.00287619	-0.0615489	0.0139012	0.0145324
HG00266	HG00266	0.0877266	0.0333501	-0.0138377	0.00704392	-0.113792	0.0406922
HG00267	HG00267	0.0555213	-0.0231426	0.0347634	-0.0469825	0.0184992	-0.0966507
HG00268	HG00268	0.100965	-0.0552297	-0.0141194	0.0140713	0.0377958	-0.0240684
HG00269	HG00269	0.0913272	-0.0424604	0.0251035	0.0387911	-0.0052198	0.0424453
HG00271	HG00271	0.109278	-0.0582334	-0.0159006	-0.0415558	-0.0190509	0.00424216
HG00272	HG00272	0.0929218	-0.0190205	-0.0537644	0.0425565	0.00592327	0.00764929
HG00273	HG00273	0.0870339	-0.0310884	-0.0153659	-0.044867	-0.0392998	-0.00223722
HG00274	HG00274	0.0925705	0.0480882	0.00542704	0.0444239	-0.0490481	-0.0209356
HG00275	HG00275	0.0576844	-0.0153429	-0.0603796	-0.00161277	0.00797067	0.0164007
HG00276	HG00276	0.0706934	0.00425492	0.0140184	0.0417291	-0.0246095	0.0142817
HG00277	HG00277	0.0736472	0.0228623	-0.0207795	-0.00124968	0.0436449	0.0240343
HG00278	HG00278	0.088907	-0.0923897	0.0343764	0.037907	-0.0131697	0.108744
HG00280	HG00280	0.0365841	-0.0357945	0.00495376	0.0340289	-0.0167939	0.0637302
HG00281	HG00281	0.103377	-0.0513917	0.0627036	0.0332989	0.0133847	-0.0139871
HG00282	HG00282	0.0859715	-0.0402548	0.0646557	-0.0820148	-0.0533987	0.0664667
