gene_name	chromosome	start	end
SIM_BG01	22	14999000	15001000
SIM_BG02	22	15399000	15401000
SIM_BG03	22	15799000	15801000
SIM_C1_G1	22	17969000	17971000
SIM_C1_G2	22	18029000	18031000
SIM_BG04	22	19999000	20001000
SIM_BG05	22	20399000	20401000
SIM_BG06	22	20799000	20801000
SIM_BG07	22	21199000	21201000
SIM_BG08	22	21599000	21601000
SIM_BG09	22	21999000	22001000
SIM_C2_G1	22	24969000	24971000
SIM_C2_G2	22	25029000	25031000
SIM_BG10	22	26999000	27001000
SIM_BG11	22	27499000	27501000
SIM_BG12	22	27999000	28001000
SIM_BG13	22	28499000	28501000
SIM_BG14	22	28999000	29001000
SIM_C3_G1	22	31924000	31926000
SIM_C3_G2	22	31974000	31976000
SIM_C3_G3	22	32024000	32026000
SIM_C3_G4	22	32074000	32076000
SIM_BG15	22	33999000	34001000
SIM_BG16	22	34499000	34501000
SIM_BG17	22	34999000	35001000
SIM_BG18	22	35499000	35501000
SIM_BG19	22	35999000	36001000
SIM_C4_G1	22	38899000	38901000
SIM_C4_G2	22	38949000	38951000
SIM_C4_G3	22	38999000	39001000
SIM_C4_G4	22	39049000	39051000
SIM_C4_G5	22	39099000	39101000
SIM_BG20	22	40999000	41001000
SIM_BG21	22	41599000	41601000
SIM_BG22	22	42199000	42201000
SIM_BG23	22	42799000	42801000
SIM_C5_G1	22	45969000	45971000
SIM_C5_G2	22	46029000	46031000
SIM_BG24	22	47999000	48001000
SIM_BG25	22	48499000	48501000
